target_features,first_correlation_feature_name,first_MAPE,first_RMSE,second_correlation_feature_name,second_MAPE,second_RMSE,optimised_MAPE,optimised_RMSE
Bz_Mean,Bz_Background_mean,0.648293282,4.911140383,Vx_Mean,0.372481807,2.824915432,0.334099129,2.685474927
Bz_Max,Bz_Background_mean,0.237824311,5.366506024,Vx_Background_mean,0.189976251,3.94976319,0.178741469,3.755360441
Bz_Min,Ni_Mean,6.52379793,3.538354166,Ti_3rd Quartile,6.311572597,3.519225282,3.516605457,3.493492599
Bz_Range,Vy_Range,0.298033029,4.877871152,T_N_ratio_3rd Quartile,0.295171036,4.784108004,0.284407993,4.626325538
B_total_Mean,B_total_Background_mean,0.309074316,6.589108605,Pp_Background_mean,0.156486915,3.364853975,0.14608231,3.024762525
B_total_Max,B_total_Background_mean,0.17339143,6.154977893,Vx_Background_mean,0.110555423,3.547770406,0.107176501,3.477835918
B_total_Min,B_total_Background_mean,1.312982481,7.012316267,Te_Range,0.77926582,4.184963861,0.722012184,4.068369371
B_total_Range,Pp_Range,0.240630204,4.674214263,B_total_Background_mean,0.235256997,4.574334242,0.230471245,4.490316019
Pm_Mean,Pm_Background_mean,0.853992006,0.162083334,Pp_Background_mean,0.346198303,0.071942693,0.322111868,0.060714552
Pm_Max,Pm_Background_mean,0.461707198,0.190532279,Ti_Te_ratio_1st Quartile,0.248529702,0.100640942,0.232457566,0.09024391
Pm_Min,Pm_Background_mean,21.74350394,0.111958747,ele_Special_Entropy_Min,8.191040912,0.087118498,9.541991382,0.074664885
Pm_Range,Pm_Background_mean,0.373875003,0.115854566,Vi_total_3rd Quartile,0.294717635,0.101736128,0.286070569,0.092585682
Vi_total_Mean,Pm_Range,0.214264663,62.65413216,By_Standard Deviation,0.213780632,62.18472149,0.204232774,60.35652519
Vi_total_Max,Pp_Range,0.213281386,118.4867622,By_Max,0.212884091,117.2592658,0.20651683,115.0491414
Vi_total_Min,ele_Special_Entropy_Max,0.376041882,30.91435279,Bx_Background_mean,0.375312115,30.94134999,0.357358173,29.51838511
Vi_total_Range,ion_Special_Entropy_1st Quartile,0.291574085,114.8542813,B_inclination_Standard Deviation,0.290566911,115.128003,0.283943391,115.5894631
V_prep_total_Mean,Pos_X_Max,0.204435485,45.41844506,T_N_ratio_Standard Deviation,0.203358566,45.45966312,0.196459024,44.34969888
V_prep_total_Max,plasma_beta_Background_mean,0.223234794,109.5013445,Ne_Standard Deviation,0.222497826,110.3723848,0.2161843,107.7401832
V_prep_total_Min,plasma_beta_Standard Deviation,0.992109762,16.09891277,ele_Special_Entropy_3rd Quartile,0.982003242,16.09270183,0.931091896,15.77185253
V_prep_total_Range,V_prep_total_Background_mean,0.26798308,110.3407697,Pos_Y_Range,0.265939113,110.4212454,0.256637963,107.3093347
Ni_Mean,Ni_Background_mean,0.229671406,0.111811421,Ti_Background_mean,0.131227487,0.075414532,0.123100451,0.066633445
Ni_Max,Ni_Background_mean,0.265137497,0.399908075,Ex_Mean,0.151147943,0.120686151,0.141979427,0.11299173
Ni_Min,Ni_Background_mean,0.256385924,0.08095044,Bz_Background_mean,0.196243571,0.062256816,0.185400158,0.059118681
Ni_Range,Ni_Background_mean,0.424499285,0.409802007,Ti_Range,0.354393666,0.394887914,0.338907502,0.306100357
Ne_Mean,Ne_Background_mean,0.24782501,0.165344204,Ex_Standard Deviation,0.132307689,0.121376308,0.129074674,0.111580825
Ne_Max,Ne_Background_mean,0.264332748,0.289037943,Te_1st Quartile,0.161100607,0.328914965,0.152678948,0.241085205
Ne_Min,Ne_Background_mean,0.327749566,0.122126695,Ez_Median,0.233979854,0.104811386,0.222874556,0.09048097
Ne_Range,Ne_Background_mean,0.368249913,0.223781435,Vy_Range,0.319882532,0.183698848,0.302567803,0.18190009
Ti_Mean,Ti_Background_mean,0.16378658,978.1135192,Ni_Background_mean,0.112278984,611.7529361,0.106470152,585.6233813
Ti_Max,Ti_Background_mean,0.15826381,1199.955314,Vx_prep_B_Standard Deviation,0.117858917,929.7994957,0.114480424,884.9497235
Ti_Min,Ti_Background_mean,0.262227379,869.8499455,Ne_Min,0.217336891,657.9228735,0.201774545,619.0146474
Ti_Range,Ti_Background_mean,0.387936951,857.104794,Ne_Min,0.372191942,827.2771358,0.352362869,791.229053
Te_Mean,Te_Background_mean,0.274411304,493.3855019,Vy_Max,0.206512073,421.5228383,0.189717984,396.926028
Te_Max,Te_Background_mean,0.307161067,793.74287,Bz_Standard Deviation,0.251526659,777.687539,0.239578758,725.9741284
Te_Min,Te_Background_mean,0.432132592,455.3634595,Bx_3rd Quartile,0.281554754,343.3081475,0.271476309,325.8985069
Te_Range,Te_Background_mean,0.543145557,731.4007904,Ne_Min,0.526889027,764.4232163,0.508950174,732.3583167
Ti_Te_ratio_Mean,Ti_Te_ratio_Background_mean,0.247596279,1.336652207,Ne_Median,0.172145814,1.028043948,0.16634341,1.069668653
Ti_Te_ratio_Max,Ti_Te_ratio_Background_mean,0.301206834,2.682162145,By_Min,0.225716293,2.221984025,0.219867827,2.41519106
Ti_Te_ratio_Min,Ti_Te_ratio_Background_mean,0.336755793,1.330048092,Ne_Min,0.319874953,1.338333379,0.294527177,1.095169689
Ti_Te_ratio_Range,Ti_Te_ratio_Background_mean,0.57692052,2.874428221,Vx_prep_B_1st Quartile,0.47354691,2.58544425,0.468512167,2.53680267
T_N_ratio_Mean,T_N_ratio_Background_mean,0.473009309,7.08146276,Bx_Median,0.281978769,4.659814733,0.269222701,4.525754389
T_N_ratio_Max,T_N_ratio_Background_mean,0.444668474,11.06350712,B_inclination_1st Quartile,0.334686808,9.401327757,0.320244898,9.100931125
T_N_ratio_Min,T_N_ratio_Background_mean,0.818079115,5.518145054,Vy_Max,0.392362066,3.389939089,0.394801876,3.416119347
T_N_ratio_Range,T_N_ratio_Background_mean,0.66936195,9.141106687,Ey_1st Quartile,0.65107199,8.706722072,0.626030612,8.757072672
Pp_Mean,Pp_Background_mean,0.284007477,0.17399495,B_total_Range,0.115049785,0.116896183,0.10797972,0.06264438
Pp_Max,Pp_Background_mean,0.233169935,0.148453126,B_total_Median,0.102116768,0.062168209,0.099289727,0.061640584
Pp_Min,Pp_Background_mean,0.537059031,0.135493334,Vi_total_Min,0.321660793,0.104383035,0.311873563,0.078057212
Pp_Range,Pp_Background_mean,0.289928868,0.068152635,Pm_Range,0.269315636,0.063387168,0.261320995,0.060982694
ion_Special_Entropy_Mean,ion_Special_Entropy_Background_mean,0.340015254,0.582022586,Vx_Range,0.201749847,0.372812486,0.199836046,0.365089355
ion_Special_Entropy_Max,ion_Special_Entropy_Background_mean,0.309050652,0.834269249,Bx_Background_mean,0.239472103,0.670787852,0.237558489,0.660517545
ion_Special_Entropy_Min,ion_Special_Entropy_Background_mean,0.504438501,0.492432796,Ex_Median,0.287581691,0.313900647,0.277737732,0.307845783
ion_Special_Entropy_Range,Vz_prep_B_Median,0.561075882,0.674970951,ion_Special_Entropy_Background_mean,0.555360779,0.698955343,0.529787839,0.666085439